Review,Status
"
            Заказ ждали вместо 1-2 часа, целых 3 часа! До Равна маршрутке ехать 15 мин. Заказали кальян! Готовить ничего не надо! Параллельно заказали в другой фирме пиццу, и роллы, доставили за 30 мир молодчики! А Тануки, полный отстой, сжигают деньги по...                            читать
                    полностью
",0
"
            6 марта 2014 года заказали доставку ролов в Тануки на седьмое марта, на 14-00 (думали порадовать девчат на работе). В 14-00 заказ доставлен не был, телефон службы доставки Тануки был недоступен. Итог - праздник не состоялся. А как стыдно то было....                            читать
                    полностью
",0
"
            Тысячу лет не была в Шоколаднице, и пожалуй, больше здесь не появлюсь. Блины — не первой свежести, Наполеон — резиновый. Официант — очень любезный и хорошо воспитанный молодой человек.                    ",0
"
            Ресторан расположен рядом с домом, часто хожу туда, чисто и уютно, и сотрудники такие вежливые. Всегда улыбаются, всегда приветствуют. Мне очень нравится! Особенно Темирбекова Айдайке, благодаря ей попробовала терияки и мне очень понравилась.                    ",1
"
            Добрый день! Хочу поделиться своими впечатлениями после посещения данного заведения на Поварской улице 12.04.14г. Начну с того, что ""Резерв"" стола не означает ничего! Заказала стол на 23-00, пришли во время, после чего нас записали в ОЧЕРЕДЬ на...                            читать
                    полностью
",0
 Заказ размещен на сайте в 14 часов. В 16-06 заказ еще не доставлен. На звонки операторы не отвечают. Отвратительная доставка.  ,0
"
            После работы зашел просто перекусить. Взял первое + второе. Суп - неплохо. Но неприятно поразила котлета по-киевски - пересушена вусмерть. Вгрызаешься как в сухарь. После еды посмотрел в чек - пробили другой суп (более дорогой). Наверное, взяли на...                            читать
                    полностью
",0
"
            Был тут на Новый 2015 год. Отлично! Порадовались всей компанией.                    ",1
"
            Ресторан - это громко сказано. Впечатление не очень хорошее. Цены высокие. Еда не очень мне понравилась. Порции просто крошечные. Еду мне пересолили. Очень маленькие. Атмосфера уютная. Есть зал для курящих и некурящих. Единственное, что понравилось -...                            читать
                    полностью
",0
"
            Очень люблю японскую кухню. Якитория вполне приличное место, очень спокойное. Просто посидеть и насладиться кухней. Выбор огромен. Обстановка интерьера расслабляющая, очень милое место!                    ",1
"
            Маленький уголок спокойствия и умиротворения. Обновилось основное меню, меню ланчей и завтраков. Мне дико понравился смусси - малина и базилик, нереальная игра вкуса!                    ",1
"
            Официант, который обслуживал кое как. Главное, чтоб его не трогали. То одно не принесут, то другое!) После такого не особо ходить хочется, когда сервис 0.                    ",0
"
            Пожалуй, многие со мной согласятся - сложно всё-таки это место назвать рестораном. Кафе или даже просто ""точка общепита"". Надо отдать должное качеству продуктов - они всегда свежие. Также к достоинствам можно отнести удобное расположение. всё...                            читать
                    полностью
",0
"
            Доставка 2 часа, хотя обещано было через 70-80 минут. На телефон не отвечают.                    ",0
"
            Здесь я ела вкуснейшие роллы. У ""Якитории"" есть свое собственное фирменное меню, блюда из которого можно попробовать только здесь. Казалось бы, что можно навертеть в ролл, чтобы удивить? А в ""Якитории"" удивят, уж поверьте! Кроме роллов очень...                            читать
                    полностью
",1
"
            Ужасное обслуживание. Официанты выглядят ужасно, одна с жирными волосами, другой такой же, еще и не опрятный, рубаха вечно из-за штанов весит. Ждешь по 15-20 мин. когда примут заказ, (причем занимаются своими делами, обсуждая, что то очень бурно с...                            читать
                    полностью
",0
"
            К доставке претензий вообще никаких нет. Курьеры чинные, вежливые и пунктуальные. Но. Пицца это в первую очередь вкус, конечно. Доминос пиццу я бы назвал не идеальной, но добротной. В Москве это один из лучших вариантов. По крайней мере, они точно...                            читать
                    полностью
",1
"
            Самый не дорогой фаст-фуд ресторан. Где на 200 руб. вы можете уйти сытым и довольным. Меню радует своим разнообразием. Обслуживание отличное. Интерьер вполне нормальный. Отличное место если вам захотелось быстро и вкусно перекусить. Всем советую.                    ",1
"
            14.02.14 г. пришли небольшой компанией в ресторан Тануки на Велозаводской. Скорость обслуживания оставляет желать лучшего, при небольшой загруженности зала. Официанты заняты сбором заказов на вынос, забывая о клиентах, сидящих в зале. Грязная посуда...                            читать
                    полностью
",0
"
            Мое самое любимое место в городе. Цены приемлемые, музыка, алкоголь, еда - все в отлично!                    ",1
"
            Не в большом восторге, но кофе выпить там вполне допустимо. Десерты вкусные не все. Блинчики с творожным кремом мне не понравились. Хромает обслуживание и внешний вид официантов. Цены не кусаются. Интерьер и обстановка в целом приятная.                    ",1
"
            Обожаю горячий шоколад! А шоколадница - это то место, где можно насладится этой вкуснятиной. Также большой выбор тортиков и пирожных. Кофе можно брать с собой на вынос. Обстановка довольно таки уютная. Официанты достаточно быстро обслуживают. И еще...                            читать
                    полностью
",1
"
            Мои любимые крылья. Знаю вредно, не полезно, но не могу себя не радовать такими вкусняшками. Всегда когда бываю рядом с KFC, всегда съедаю порцию. Ну не могу я себе отказать!                    ",1
"
            Не сказала бы, то, что все на высшем уровне, но для просто обеда, вполне подойдет. Раньше все было намного лучше и приятнее у них, а в последнее время роллы у них стали разваливаться. Вкусными остались, как и прежде, молочные коктейли, которые я...                            читать
                    полностью
",1
"
            Я довольна Граблями! Впервые тут оказалась когда День рождения подруги отмечали. Порции тут большие и вкусные, я в тот день ужасно много съела - даже не знала, что в меня столько может поместится) )). Коктейли расчудесные, заказывала себе ""Райский"" -...                            читать
                    полностью
",1
"
            Как везде, обслуживающий персонал - чурки. Тормозят постоянно, путают заказы. А когда я увидел как они готовят...
Платить за разогретый в свч бургер - жалко денег и здоровья. Сыр никогда не бывает расплавленным, а должен быть.
Увидел, что на кухне...                            читать
                    полностью
",0
"
            Шоколадница на Семеновской. Официантка буквально совала руку в чашку.                           Вчера сидели там с подругой. Я пью чай. Рядом с правой рукой стоит недопитая кружка, на блюдце чайная ложка и открытый пакетик с сахаром. Официантке...                            читать
                    полностью
",0
"
            Вместо полной, обжаренных овощей, тарелки с креветками к лапше, как на картинке принесли голых 4 креветки за 300 р. Очень нечестно. Не верьте меню.                    ",0
"
            Обалденные, горячо любимые булочки! Несравненное гляссе и очень-очень недорогое мороженное и вкусное. Шикарно. Вроде и недорого, и не слишком престижно - но я обожаю.                    ",1
"
            Без комментариев! Чисто, аккуратно, вкусно и всегда по пути! С друзьями, с родными и просто одной всегда вам будет рад МакДак. Не пожалеете! Да и не очень то и дорого, вполне нормально: )))                    ",1
"
            Единственное место в Москве (кроме шаурмичных, конечно), где действительно можно хорошо пообедать за 150 рублей. Кормят вкусно, пусть вредно, главное, не переедать, потому что остановиться там практически невозможно. Обожаю молочные коктейли. На...                            читать
                    полностью
",1
"
            Сотрудник-""овощ"".

Зашла после работы в ресторан в ТРЦ Весна Алтуфьево. Кассир Никита обслуживал гостей с недовольным лицом. Сложилось впечатление, что его либо все бесит и он не хочет общаться с гостями, либо он рассеянный. Говорил тихо, я ни...                            читать
                    полностью
",0
"
            Подсели на Империю давно, потому как здесь вкусно, сытно, оперативно. Перепробовали все пиццы, все нравится, особенно Пепперони и Морская. Тесто пышное, начинки много, также как и сыра. Но вот недавно ходили на ДР к друзьям там была пицца из Доминос,...                            читать
                    полностью
",1
"
            Кассир Лола, работающая на мичуринской проспекте, обманывает покупателей. Недавно был свидетелем, как девушка берет с человека деньги, при этом не пробивая заказ. Прошу обратить внимание.                    ",0
"
            Добрый вечер! Являюсь клиентом Якитории в течение длительного времени! Не первый раз сталкиваюсь с отвратительным обращением поваров и менеджеров с клиентами! Точка кипения была достигнута 09.04.2013 г. в Якитории на Щелковском шоссе! После работы...                            читать
                    полностью
",0
"
            Если Вы первый раз хотите попробовать китайскую кухню, то обязательно посетите ""Тануки"" первым. Мы были в нескольких суши-барах Москвы и оставил самые лучшие и теплые впечатления. Все очень вкусно и со вкусом. Бесплатно прилагается напиток, что тоже...                            читать
                    полностью
",1
"
            Люблю Шоколадницу за стабильность. Свой почерк в интерьере, даже без запаха кальяна Шоколадница не была бы собой. Хотя чаще это все же не нравится. Я здесь ностальгирую по студенчеству и девчонкам, которые сейчас далеко. Или люблю посидеть с мамой до...                            читать
                    полностью
",1
" Сложилось впечатление, что на работу в Макдональдс устраивают лишь бы кого, редкий случай, когда нет замечаний к обслуживающему персоналу. Начиная с того, что не корректно оформляют заказ, время ожидания доходит до того, что приходится делать отмену,...  читать  полностью ",0
"
            Периодически расклеивают свои рекламные бумажки у дверей на всех этажах в подъезде. Расцениваю это как неуважение к личному пространству. Никогда и ничего не буду покупать в этой лавочке.                    ",0
"
            Периодически хожу и заказываю еду на дом. Мне очень нравится сеть этих ресторанов. За время их существования они не испортились. Всегда красивый интерьер и очень вкусно готовят. А если вдруг и бывают нарекания по обслуживанию (новый официант), всегда...                            читать
                    полностью
",1
"
            Самая ужасная пицца. Обманули. Не привезли заказ на день рождения. Операторы говорили ждать его, при каждом звонке. Через 5 часов ожидания никто так и не мог сказать где заказ и что случилось. Никаких изменений, а тем более компенсации не было....                            читать
                    полностью
",0
"
            Безнадежная еда! Они хоть сами пробуют то, что приносят?                    ",0
"
            Вау! Лучшее впечатление о «Шоколаднице» пасту с лососем принесли через 3 минуты и она была на удивление очень вкусной! Большой плюс!                    ",1
"
            Всегда свежая и вкусная еда. Меню часто обновляется, добавляются сезонные блюда. Есть и гриль блюда и всевозможные японские пасты с наполнителями на выбор. Пиво недорогое и тоже вкусное. Есть даже бамбуковое зелёное. В общем, заведение стоит...                            читать
                    полностью
",1
"
            Ресторан оформлен в японском стиле, официанты очень быстро обслуживают, а вот порции маленькие, берешь вроде бы всего по чуть-чуть, а счет в конце получается довольно крупный, проще сходить в нормальный ресторан.                    ",0
"
            Очень вежливая и хорошо обслуживает, молодец, я очень довольна. 26.07.2017, номер чека 295777.                    ",1
"
            Во-первых невозможно дозвониться, чтобы сделать свой заказ. Во-вторых, частенько приходится очень долго ждать доставщика, котрый настолько же часто путает адрес доставки. В-третьих, неуважительное отношение к клиенту, что не прибавляет популярности...                            читать
                    полностью
",0
"
            Вчера захотела попробовать вашу пиццу, давно слышала, но никак не получалось попробовать. А тут все сошлось, приехали знакомые, выходной у меня и мужа, ну в общем решили отпраздновать. Заморочилась с регистрацией, сделала себе личный кабинет, внесла...                            читать
                    полностью
",1
"
            Спасибо за веганскую пиццу, чувствую себя нормальным человеком в компании, когда могу заказать эту пиццу. Некоторые кафе пренебрегают едой для веганов, а у вас я могу покушать и очень даже вкусно. Приятная, ароматная и овощи свеженькие. Спасибо!                    ",1
"
            Отвратительный персонал. Постоянно путают заказ или вообще забывают положить, что заказывает.                    ",0
"
            Сделала большой заказ, посетителей больше не было, в итоге заказ собирали 5 человек. Проверить естественно не дали, в Солнечногорске практикуется такое! В итоге в заказе не оказалось бигтейсти, 9 нагетсов. А вместо большого фри в пакете оказалось 2...                            читать
                    полностью
",0
"
            Честно говоря когда пришёл первый раз, ожидал увидеть и попробовать нечто. однако, в туалет не пробьёшься, мест постоянно не хватает катастрофически, мало того, бесит когда приходишь, а там сидит какой-то молодняк уже часа 4 заказав при этом один...                            читать
                    полностью
",0
"
            Сегодня были в шоколаднице, что находится в формуле-кино на Можайке. Это что-то! Сначала мы ждали кофе 10 минут, принесли одну чашку, через 15 минут вторую, про десерт вообще забыли, а когда напомнили - принесли только одну порцию вместо двух. После...                            читать
                    полностью
",0
"
            Достаточно неплохое местечко для отдыха и просто можно вкусно перекусить в дружественной обстановке без лишней суеты. Обслуживающий персонал радует приветливостью и доброжелательностью, а также можно заказать покушать на дом. Вполне быстрая доставка!                    ",1
"
            Купила в Бургер Кинге на Каляжской воппер, через час стало плохо, было отравление, отходила 3 дня, больше никогда не пойду!
P.S. Работают с грязными руками, не знаю, что туда попало.                    ",0
"
            М. Савеловская, время около 16:00, сначала перепутали заказ, вложение было неверным (заказывала все с собой), съела два куска курицы и фри. Через час началось: температура, тошнота, головокружение, к вечеру того дня у меня были все признаки сильного...                            читать
                    полностью
",0
"
            Ходила обедать, вкусный тут очень салат цезарь и всего за 139 рублей. Люблю стрипсы и картошечку, они у них очень сытные и вкусные, мне нравится, что тут все с курочкой, моей любимой.                    ",1
"
            Сделали заказ в 21.50 31.08.13. Обещали привезти в течение часа-полутора, в итоге через 1 час 40 мин. с нами связался оператор и сообщил, что курьер не может дозвониться на указанный номер, и пообещал, что курьер сейчас же с нами свяжется. Далее,...                            читать
                    полностью
",0
"
            Сколько не ругай, а все равно его люблю - особенно картошку фри с сырным соусом!                    ",1
"
            На чеках время не совпадает, хотели предъявить претензию, что долго ждем, а время не то. Все очень долго делают. На выдаче все холодное.                    ",0
"
            Недорогой фаст фуд, иногда можно себе разрешить эту вреднятину. Если беру, то Чикен Макнагетс и Биг Тейсти.                    ",1
"
            Работаю рядом, обедаю только здесь, хотя мест перекусить вокруг много. После работы иногда захожу взять с собой выпечку на утро или поужинать с большой скидкой. По акции можно поесть совсем бюджетно. Грабли классные, правда.                    ",1
"
            Купили сегодня булку с собой на вынос, откусили и, что вы думаете нашли там? ВОЛОС! Длинный женский волос, фууу. Больше никогда не купим ничего там.                    ",0
"
            Очень вкусно готовят. Пробовали суп с кокосовым молоком, очень понравилось. Разнообразное меню, так же порадовал большой выбор, хотя дороговато. Персонал очень учтивый, приветливый. Пепельницы меняли каждые две минуты. Правда показалось очень...                            читать
                    полностью
",1
"
            Ну просто супер! Как всегда Якитория нас не подвела. Приезжали гости все понравилось. Единственное, что не понравилось это интерьер, сказали это уже все старое, но когда нас начали кормить про интерьер все забыли. Наши гости остались очень довольны,...                            читать
                    полностью
",1
"
            Дада приятно удивлены были и мы. Реально украинский стиль, официантки в рушниках и очень красивые и вежливые. еда очень вкусная и домашняя! Мы даже с собой заказали навынос. А ели мы борщ с помпушками, рыбную тарелку, рульку, морс и кофе с...                            читать
                    полностью
",1
"
            Самые вкусные суши в Москве. Хороший интерьер и самое главное вкусная еда! Наилучшие рекомендации!                    ",1
"
            Хочу сказать спасибо официанту Юлии на Пражской! Очень милая, добрая девочка. Очень отзывчивая и, как официант, очень внимательная к гостям. Побольше бы таких официантов.)))))                    ",1
"
            Хорошая кофейня, чем то схожа с Кофе Хауз))) Всегда, когда я приходила было довольно людно, близко расположены столы, в общем обычное кафе среднего уровня, с высокими ценами, зайти посидеть с друзьями можно, но не надолго.                    ",1
"
            Заказали пиццу на всю компанию, оплатили онлайн через сайт. Доставку обещали 2,5 часа. Спустя это время пиццы не было, мы позвонили, выяснилось, что у ни произошел технический сбой, о котором вообще никто не знал (сбой начался в 20:00, мы заказывали...                            читать
                    полностью
",0
"
            Все хорошо, обслуживают быстро, места свободные найти днем сложно, но реально.                    ",1
"
            Здесь самый лучший туалет, есть все: стульчак для детей, подставка для мытья рук, детское мыло. Еда всегда вкусная, но главное - комфортно!                    ",1
"
            Досада.
Периодически обедал в КФС. Теперь буду искать другой вариант. 
Позавчера взял острых крыльев и сибирской короны. Пиво ОТВРАТИТЕЛЬНО, в коробочке 7 крыльев вместо восьми (положены таким образом, чтобы не сосчитать открыв).                    ",0
"
            Прошло столько времени, а она всё та же! Всё на высоте, цены, качество, обслуживание! Молодцы. Место куда всегда приятно приходить.                    ",1
"
            Очень понравилось обслуживание. Особенно Дмитрий Лавров, продавец. Так все о скидках и новых поступлениях грамотно рассказал. Будем в Ква-Ква, еще раз зайдем!                    ",1
"
            Шримп ролл ни о чем. Креветок не чувствуется, один только соус. Печалька!                    ",0
"
            Впрочем, популярность оправдана - хорошее качество напитков и десертов, в меню ничего лишнего, но то, что имеется, готовится вполне достойно, в общем, что и требуется от кофейни.                    ",1
"
            В дополнение к чаю принесли грязное ситечко. Вообще официанты тут «прелесть».                    ",0
"
            Заказали пиццу в офис 7 штук больших на 14 часов дня. Заказали заранее за день до даты доставки. Пиццу не привезли даже в 16.30! Каждые полчаса обещали через полчаса или в течении 20 минут привезем! Но так и нет! Большой заказ пиццы на 4 000 рублей...                            читать
                    полностью
",0
"
            Неаполитана классная. Вчера так захотелось вкусненького, заказала ее в первый раз. Смотрела на нее раньше, но смущала ветчина, не очень ее люблю. Но тут рискнула и не зря, очень вкусно. Ветчина хорошего качества, еще колбаски есть, маслины, перчик,...                            читать
                    полностью
",1
"
            В Тануки с нами случился небольшой эксцесс. Пообедали мы здесь на 2500 рублей, расплатившись купюрами по тысячи. Сдачу принес мужчина, плохо говорящий по русски. Правда принес он не сдачу, а сказал, что одна из купюр фальшивая. Мы конечно удивились,...                            читать
                    полностью
",0
"
            Классное обслуживание, спасибо менеджеру Зульфире, обходительная, вежливая.                    ",1
"
            Очень чистый бар. Приятное, вежливое обслуживание. Есть удобные барные столики, есть диванчики. Еда вкусная, нежирная. Заказывал бургер и картофель дольками – вкусно!:)                    ",1
"
            Самые вкусные роллы в городе, и это правда. Ни в какое сравнение с другими суши-барами не идет. Подороже, но приятное качество, обслуживание, в том числе при доставке. Особенно удаются им горячие роллы с голубым сыром в лотке, с лимоном и соусом с...                            читать
                    полностью
",1
"
            Были там несколько раз, внутри не очень понравилась обстановка. Понравилась в основном японская кухня - вкусно и не дорого, а вот остальное меню не впечатлило, довольно дорого, а на поверку ничего особенного. Заказывали европейские роллы (не из...                            читать
                    полностью
",0
"
            24.12.2016 в 21.33 сделал заказ в КФС авто на Пулковском шоссе возле гипермаркета ""Лента"". В окне выдачи попросили подождать на стоянке 1 минуту, пока сделают бокс мастер. В 21.50 заказ не выносят. Обратился в окно выдачи, бокс лежит на столе,...                            читать
                    полностью
",0
"
            Пользовались доставкой пиццы и очень довольны. Привозят во время, пицца горячая, отлично упакована. Вежливый персонал и, что особенно приятно в пицце действительно много-много сыра и он вкуснейший. Спасибо вам огромное, все круто.                    ",1
"
            Очень вкусное ванильное каппучино! Тесно и заторможенные официанты. Традиционно!                    ",1
"
            Пару раз был тут по необходимости. Обслуживание так себе. Еда и меню средненькие. Единственное, что порадовало, так это интерьер. Ценники явно завышенные. Ничего особенного тут нет!                    ",0
"
            Куда исчез вкусный соус барбекю???? Откуда взялся этот мерзкий хаинс? Верните тот, который был, или я тоже уйду!                    ",0
"
            Поменялось меню. Картинки стали красивее. Очереди на входе нет (что непривычно для данного заведения). Кофе, как всегда, невкусный. Рис с говядиной, вполне, даже ничего. Официант тот же, что и раньше.                    ",1
"
            Не часто хожу в подобные заведения, но этот поход меня очень порадовал. Полдня бегал весь в делах со своим замом. Захотелось хорошо плотно поесть + зарядить ноутбук, который в очень неподходящий момент садился. Обошли порядка 4 кафешек. Везде или...                            читать
                    полностью
",1
"
            Сколько лет ходили туда, ходим и будем ходить! Всегда вкусно и недорого. Отличные булки, соусы самые вкусные, еда всегда свежая, проходимость очень высокая, но это даже не обсуждается, очень удобно - макАвто! Еще бы доставку на дом сделали и цены бы...                            читать
                    полностью
",1
"
            Зашла сегодня с ребенком в Корчму на Алексеевской. Персонал хамовитый, так как будто украинская наглость и хамство перенеслись с Украины и в корчму, но это касается не официантов, а администрации. Беременная черноволосая тетка, директор, что ли, Юля,...                            читать
                    полностью
",0
"
            Отличное, уютное местечко, доброжелательное обслуживание, большой выбор блюд, квас отличный, все очень вкусно, есть wi-fi, цены не кусаются. Приятно провели время. Спасибо!                    ",1
"
            Только крылышки. За несколько лет все так изменилось, что вкусными остались только острые крылья.                    ",0
"
            Первый раз пишу отзыв, не судите строго. Мне нравится их обслуживание и еда. Мой любимый ВОК сомен с креветками, заказываю не часто, только когда хочу себя побаловать. Всегда привозят доготовленным, вкусным и свежим. Пробовала подобное блюдо в другом...                            читать
                    полностью
",1
